ELEMENT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
MEAN DAILY MAXIMUM,19.7,20.3,33.9,54.6,63.5,76,81.7,76.7,74.7,52.1,34.6,29.2
HIGHEST DAILY MAXIMUM,44,41,61,83,86,87,90,85,89,71,47,42
MEAN DAILY MINIMUM,4.4,2.4,17.9,35.1,44.3,56.5,62.6,56.7,55.5,35.6,21.5,13.9
LOWEST DAILY MINIMUM,-30,-15,-17,24,33,43,52,48,46,19,0,-8
AVERAGE DRY BULB,12.1,11.3,25.9,44.8,53.9,66.3,72.2,66.7,65.1,43.9,28.1,21.5
MEAN WET BULB,11.3,,,,48.2,59.9,67.3,61.1,60.6,,26.4,21.6
MEAN DEW POINT,8.3,,,,43,55.2,64.3,57.8,57.5,,22.6,18.3
NUM DAYS W MAXIMUM >=  90°,0,0,0,0,0,0,1,0,0,0,0,0
NUM DAYS W  MAXIMUM <= 32°,25,24,11,0,0,0,0,0,0,1,12,17
NUM DAYS W  MINIMUM <= 32°,31,27,27,11,0,0,0,0,0,14,29,31
 NUM DAYS W  MINIMUM <=  0°,11,15,6,0,0,0,0,0,0,0,1,6
