country,f0-14,f0-4,f15-24,f25-34,f35-44,f45-54,f5-14,f55-64,m0-14,m0-4,m15-24,m25-34,m35-44,m45-54,m5-14,m55-64
AD,0.0,,,,,,,,0.0,,,,,,,
AE,4.0,,,,,,,,4.0,,,,,,,
AF,3500.0,1800.0,7100.0,6300.0,5400.0,4600.0,1800.0,3900.0,3900.0,2200.0,6000.0,5900.0,5200.0,4100.0,1700.0,3700.0
AG,0.0,,,,,,,,0.0,,,,,,,
AI,0.0,,,,,,,,0.0,,,,,,,
AL,27.0,,,,,,,,29.0,,,,,,,
AM,50.0,,,,,,,,54.0,,,,,,,
AO,5200.0,2800.0,6300.0,8400.0,7900.0,4900.0,2300.0,4300.0,5700.0,3500.0,11000.0,15000.0,14000.0,8400.0,2300.0,7100.0
AR,660.0,270.0,1200.0,1100.0,670.0,510.0,380.0,400.0,620.0,290.0,1500.0,1400.0,1000.0,830.0,340.0,750.0
AS,0.0,,,,,,,,0.0,,,,,,,
AT,30.0,,,,,,,,32.0,,,,,,,
AU,86.0,35.0,130.0,220.0,120.0,69.0,51.0,69.0,67.0,37.0,120.0,210.0,130.0,79.0,29.0,95.0
AW,1.0,,,,,,,,1.0,,,,,,,
AZ,360.0,190.0,520.0,540.0,250.0,260.0,170.0,260.0,400.0,230.0,1000.0,850.0,530.0,660.0,170.0,520.0
BA,45.0,,,,,,,,49.0,,,,,,,
BB,0.0,,,,,,,,0.0,,,,,,,
BD,17000.0,8000.0,20000.0,23000.0,24000.0,21000.0,8600.0,17000.0,18000.0,9800.0,23000.0,36000.0,43000.0,35000.0,8400.0,33000.0
BE,53.0,,,,,,,,57.0,,,,,,,
BF,520.0,280.0,600.0,760.0,640.0,440.0,240.0,320.0,570.0,340.0,1100.0,1400.0,1200.0,730.0,230.0,450.0
BG,81.0,41.0,52.0,78.0,91.0,71.0,41.0,72.0,90.0,50.0,58.0,130.0,220.0,230.0,40.0,200.0
BH,9.0,,,,,,,,10.0,,,,,,,
BI,740.0,420.0,840.0,1000.0,790.0,560.0,320.0,450.0,830.0,520.0,1500.0,1700.0,1400.0,950.0,310.0,800.0
BJ,390.0,210.0,400.0,450.0,410.0,330.0,180.0,230.0,430.0,250.0,730.0,810.0,730.0,580.0,180.0,380.0
BM,0.0,,,,,,,,0.0,,,,,,,
BN,14.0,,,,,,,,15.0,,,,,,,
BO,650.0,330.0,940.0,900.0,630.0,500.0,320.0,520.0,720.0,410.0,1500.0,1400.0,1100.0,940.0,310.0,870.0
BQ,0.0,,,,,,,,0.0,,,,,,,
BR,5200.0,1800.0,4800.0,5200.0,4400.0,3800.0,3400.0,3000.0,5700.0,2500.0,10000.0,14000.0,11000.0,9000.0,3200.0,7000.0
BS,3.0,,,,,,,,4.0,,,,,,,
